Variable,Cuartel,Dia,Bodega,Valor
X_bjt,cuartel_1,dia_16,Machali,64.98
X_bjt,cuartel_2,dia_47,Machali,57.760000000000005
X_bjt,cuartel_3,dia_39,Machali,57.760000000000005
X_bjt,cuartel_4,dia_50,Machali,64.98
X_bjt,cuartel_6,dia_29,Machali,57.760000000000005
X_bjt,cuartel_7,dia_32,Machali,47.500000000000014
X_bjt,cuartel_7,dia_33,Machali,10.259999999999991
X_bjt,cuartel_8,dia_68,Machali,64.98
X_bjt,cuartel_9,dia_27,Machali,54.96
X_bjt,cuartel_10,dia_57,Machali,57.760000000000005
X_bjt,cuartel_11,dia_46,Machali,64.98
X_bjt,cuartel_12,dia_76,Machali,64.98
X_bjt,cuartel_13,dia_66,Machali,64.98
X_bjt,cuartel_14,dia_35,Machali,64.98
X_bjt,cuartel_15,dia_37,Machali,57.760000000000005
X_bjt,cuartel_17,dia_33,Machali,12.240000000000009
X_bjt,cuartel_17,dia_34,Machali,45.519999999999996
X_bjt,cuartel_19,dia_27,Machali,20.04
X_bjt,cuartel_20,dia_29,Machali,22.5
X_bjt,cuartel_21,dia_63,Machali,64.98
X_bjt,cuartel_22,dia_40,Machali,17.239999999999995
X_bjt,cuartel_23,dia_37,Machali,27.480000000000004
X_bjt,cuartel_24,dia_54,Machali,64.98
X_bjt,cuartel_25,dia_29,Machali,64.98
X_bjt,cuartel_27,dia_58,Machali,57.760000000000005
X_bjt,cuartel_28,dia_49,Machali,64.98
X_bjt,cuartel_29,dia_40,Machali,57.760000000000005
X_bjt,cuartel_30,dia_59,Machali,64.98
X_bjt,cuartel_31,dia_25,Machali,57.760000000000005
X_bjt,cuartel_32,dia_64,Machali,64.98
X_bjt,cuartel_33,dia_44,Machali,57.760000000000005
X_bjt,cuartel_34,dia_57,Machali,17.480000000000008
X_bjt,cuartel_37,dia_54,Machali,22.5
X_bjt,cuartel_51,dia_22,Machali,22.5
X_bjt,cuartel_57,dia_35,Machali,17.48000000000015
X_bjt,cuartel_18,dia_34,Chepica,57.760000000000005
X_bjt,cuartel_19,dia_26,Chepica,44.940000000000005
X_bjt,cuartel_20,dia_29,Chepica,42.47999999999999
X_bjt,cuartel_22,dia_43,Chepica,40.52000000000001
X_bjt,cuartel_34,dia_60,Chepica,47.49999999999999
X_bjt,cuartel_35,dia_51,Chepica,64.98
X_bjt,cuartel_36,dia_73,Chepica,64.98
X_bjt,cuartel_37,dia_54,Chepica,42.480000000000025
X_bjt,cuartel_5,dia_31,Nancagua,17.48000000000002
X_bjt,cuartel_5,dia_32,Nancagua,47.499999999999986
X_bjt,cuartel_9,dia_23,Nancagua,1.2789769243681804e-14
X_bjt,cuartel_9,dia_28,Nancagua,10.02
X_bjt,cuartel_16,dia_34,Nancagua,64.98
X_bjt,cuartel_20,dia_31,Nancagua,1.2789769243681804e-14
X_bjt,cuartel_23,dia_37,Nancagua,37.5
X_bjt,cuartel_26,dia_68,Nancagua,64.98
X_bjt,cuartel_38,dia_16,Nancagua,64.98
X_bjt,cuartel_39,dia_51,Nancagua,57.760000000000005
X_bjt,cuartel_40,dia_31,Nancagua,64.98
X_bjt,cuartel_41,dia_44,Nancagua,57.760000000000005
X_bjt,cuartel_42,dia_40,Nancagua,17.480000000000004
X_bjt,cuartel_42,dia_42,Nancagua,47.50000000000003
X_bjt,cuartel_43,dia_42,Nancagua,17.48000000000001
X_bjt,cuartel_43,dia_44,Nancagua,47.49999999999999
X_bjt,cuartel_44,dia_28,Nancagua,64.98
X_bjt,cuartel_45,dia_69,Nancagua,64.98
X_bjt,cuartel_46,dia_48,Nancagua,57.760000000000005
X_bjt,cuartel_47,dia_40,Nancagua,64.98
X_bjt,cuartel_48,dia_63,Nancagua,64.98
X_bjt,cuartel_49,dia_17,Nancagua,64.98
X_bjt,cuartel_50,dia_69,Nancagua,64.98
X_bjt,cuartel_51,dia_23,Nancagua,42.480000000000004
X_bjt,cuartel_52,dia_50,Nancagua,64.98
X_bjt,cuartel_53,dia_50,Nancagua,57.760000000000005
X_bjt,cuartel_54,dia_42,Nancagua,64.98
X_bjt,cuartel_55,dia_13,Nancagua,64.98
X_bjt,cuartel_56,dia_25,Nancagua,57.760000000000005
X_bjt,cuartel_57,dia_34,Nancagua,47.49999999999986
X_bjt,cuartel_58,dia_36,Nancagua,64.98
X_bjt,cuartel_59,dia_48,Nancagua,57.760000000000005
X_bjt,cuartel_60,dia_30,Nancagua,57.760000000000005
