Dia,Cuartel,Valor
Dia 13,cuartel_55,2846880.0
Dia 16,cuartel_1,1998240.0000000002
Dia 16,cuartel_38,1866000.0
Dia 17,cuartel_49,1884571.4285714284
Dia 23,cuartel_51,2220720.0
Dia 25,cuartel_31,1517428.5714285714
Dia 25,cuartel_56,1696428.5714285714
Dia 26,cuartel_19,2088000.0
Dia 27,cuartel_9,2161680.0
Dia 28,cuartel_44,1037040.0
Dia 29,cuartel_6,1425000.0
Dia 29,cuartel_20,1897142.8571428573
Dia 30,cuartel_60,1663428.5714285714
Dia 31,cuartel_40,1190476.1904761905
Dia 32,cuartel_5,1758857.142857143
Dia 32,cuartel_7,2577428.5714285714
Dia 32,cuartel_16,775599.9999999999
Dia 32,cuartel_17,120071.42857143041
Dia 32,cuartel_25,1724399.9999999998
Dia 32,cuartel_40,503238.09523809515
Dia 32,cuartel_57,118857.14285714237
Dia 34,cuartel_14,100571.42857142808
Dia 34,cuartel_16,1088800.0000000002
Dia 34,cuartel_17,1696428.5714285714
Dia 34,cuartel_18,1425000.0
Dia 34,cuartel_57,1685142.8571428577
Dia 35,cuartel_14,1981714.285714286
Dia 36,cuartel_58,1964571.4285714286
Dia 37,cuartel_15,783285.7142857144
Dia 37,cuartel_17,20285.714285714286
Dia 37,cuartel_23,1966285.714285714
Dia 37,cuartel_57,285.7142857142857
Dia 39,cuartel_3,1950000.0
Dia 39,cuartel_22,31859.999999986456
Dia 39,cuartel_29,1916640.0
Dia 40,cuartel_15,1205285.7142857146
Dia 40,cuartel_33,133999.99999999907
Dia 41,cuartel_42,1242240.0
Dia 41,cuartel_47,983280.0
Dia 41,cuartel_54,1228320.0
Dia 43,cuartel_22,2137500.000000013
Dia 44,cuartel_2,212071.42857142794
Dia 44,cuartel_33,2089642.8571428582
Dia 44,cuartel_41,1796857.142857143
Dia 44,cuartel_43,2047679.9999999998
Dia 46,cuartel_11,1834400.0
Dia 46,cuartel_33,133142.85714285713
Dia 46,cuartel_53,857857.1428571431
Dia 47,cuartel_2,1508285.7142857143
Dia 48,cuartel_46,1687600.0
Dia 48,cuartel_59,1504800.0
Dia 49,cuartel_28,1266666.6666666667
Dia 50,cuartel_4,2135280.0
Dia 50,cuartel_52,2052000.0
Dia 51,cuartel_35,1266666.6666666667
Dia 51,cuartel_39,1425000.0
Dia 53,cuartel_53,1017857.1428571428
Dia 54,cuartel_37,1507936.507936508
Dia 55,cuartel_24,1507936.5079365224
Dia 56,cuartel_10,3024240.0
Dia 56,cuartel_34,94879.99999998295
Dia 59,cuartel_30,2022000.0
Dia 60,cuartel_34,1900000.0000000172
Dia 63,cuartel_48,1923428.5714285714
Dia 64,cuartel_8,69333.33333333337
Dia 64,cuartel_21,1846399.9999999998
Dia 64,cuartel_32,2880480.0
Dia 66,cuartel_13,1845428.5714285716
Dia 68,cuartel_8,1266666.6666666667
Dia 68,cuartel_26,2027039.9999999998
Dia 68,cuartel_50,268159.99999999994
Dia 69,cuartel_45,2016000.0
Dia 69,cuartel_50,1900000.0
Dia 73,cuartel_36,1507936.507936508
Dia 76,cuartel_12,1879142.8571428568
Dia 76,cuartel_36,178634.92063492062
